bjd,rv,e_rv,pre_rv,pre_e_rv,sn18,exptime,berv,qprog,airmass,filename,dLW,e_dLW,crx,e_crx,ln_order_center,irt_ind1,irt_ind1_e,irt_ind2,irt_ind2_e,irt_ind3,irt_ind3_e
2458688.906429264,-25.46111366430766,40.338432801517314,124.34938202811738,11.362543207910402,17.03119468688965,308.85,20.560377982510072,PSU19-2-008,,/gpfs/group/cfb12/default/HPFData/Processed/WavelengthCalibrated_e2ds/20190724/0011/Slope-20190724T093504_R01.optimal.fits,-304.595402284624,112.4039050464335,1268.734676534815,902.0304372043216,9,0.8758482403171951,0.19347134159069648,0.6860457421014784,0.17235138326186966,1.1557345458309705,0.13260836291677172
2458688.9103374593,16.838068034499454,33.49480258803234,18.561255545473884,13.980866061094368,20.157703399658203,308.85,20.549206895689863,PSU19-2-008,,/gpfs/group/cfb12/default/HPFData/Processed/WavelengthCalibrated_e2ds/20190724/0012/Slope-20190724T094045_R01.optimal.fits,-238.90524301267294,93.01981150475837,-51.76779706473125,968.6828651907285,.,0.9383449876032713,0.19346426060598867,0.7613243578670269,0.3663244062010087,0.3934803144607046,0.10954923483007929
2458688.9142666995,11.457091933782548,31.454516867464484,-121.69382501202644,10.547598652027636,21.410308837890625,308.85,20.537962277301048,PSU19-2-008,,/gpfs/group/cfb12/default/HPFData/Processed/WavelengthCalibrated_e2ds/20190724/0013/Slope-20190724T094626_R01.optimal.fits,-126.83592364028469,86.5275986484266,-1193.0653230499784,357.47013930591305,0,0.6793169635174402,0.13765890328214045,0.9805413411476035,0.13442919008968865,0.647079492700251,0.10134619733984487
2458688.9182146084,51.91176114054151,31.455035199345296,-84.30895773177703,9.57218003386151,21.096515655517578,308.85,20.52665681320673,PSU19-2-008,,/gpfs/group/cfb12/default/HPFData/Processed/WavelengthCalibrated_e2ds/20190724/0014/Slope-20190724T095208_R01.optimal.fits,-234.22300787356278,87.45312612802742,439.0015933443671,879.6988213471258,4,1.1584917112238324,0.14211803833990577,0.7329049341843563,0.1554126128422368,0.8117509714861262,0.1084654535870612
2458688.9221231453,-48.64561191035755,37.39328583339766,35.943932951413146,9.76423194195842,18.804075241088867,308.85,20.515462789958352,PSU19-2-008,,/gpfs/group/cfb12/default/HPFData/Processed/WavelengthCalibrated_e2ds/20190724/0015/Slope-20190724T095749_R01.optimal.fits,-148.7797529527571,103.36821222685047,676.1685383191125,736.5142568100326,4,0.6905499500331197,0.2430637042030384,0.956753684684818,0.19731656153850954,0.5022593165054793,0.10605739173461674
2458690.8973763506,23.11501763198759,26.792719345848052,30.397777223913874,7.103785152115017,24.543455123901367,308.85,19.860030281068347,PSU19-2-008,,/gpfs/group/cfb12/default/HPFData/Processed/WavelengthCalibrated_e2ds/20190726/0018/Slope-20190726T092145_R01.optimal.fits,-84.5347408537968,73.57629583795183,452.19965007975924,743.5151868879262,6,1.0181239441248144,0.16008219940364982,0.6156914438888965,0.12035282295295555,0.82031212337049,0.08816956936227674
2458690.9012331436,-6.655615516810155,21.06666422169219,-44.1919836349609,10.32792937272884,30.047853469848633,308.85,19.84897651731336,PSU19-2-008,,/gpfs/group/cfb12/default/HPFData/Processed/WavelengthCalibrated_e2ds/20190726/0019/Slope-20190726T092727_R01.optimal.fits,-76.6065310398035,57.74843898390558,199.61009933885097,710.516597155338,5,1.0525328352408179,0.07930993155624737,0.5167756220796682,0.08693415287066197,0.8220275015836351,0.07102563180229228
2458690.9051330197,-22.625012750388994,19.988220786296736,0.9980873302859304,10.955086921159278,31.40386199951172,308.85,19.837780459235827,PSU19-2-008,,/gpfs/group/cfb12/default/HPFData/Processed/WavelengthCalibrated_e2ds/20190726/0020/Slope-20190726T093308_R01.optimal.fits,54.72265517789543,54.425169948087664,-594.2723983164593,359.491522906006,5,,,0.8200830352008678,0.0823796405900779,0.5982041036359766,0.06340466484331644
2458690.9091093997,-26.900522784022257,20.74358549403826,79.25573107702033,10.389929160756132,30.715023040771484,308.85,19.826351383263948,PSU19-2-008,,/gpfs/group/cfb12/default/HPFData/Processed/WavelengthCalibrated_e2ds/20190726/0021/Slope-20190726T093850_R01.optimal.fits,-22.33769050790851,56.58795834329597,-64.4613156807749,556.731591382203,9,0.9543900177226066,0.11254150497253296,0.6113294414108741,0.08291889504779881,0.84178184606669,0.08051779147507776
2458690.9130534916,9.522168296420835,20.23214749565831,6.341349257036451,10.592738149413757,31.15363311767578,308.85,19.815007894464586,PSU19-2-008,,/gpfs/group/cfb12/default/HPFData/Processed/WavelengthCalibrated_e2ds/20190726/0022/Slope-20190726T094431_R01.optimal.fits,-75.842281178192,55.38945803423027,157.91947969592303,475.4572135539439,1,0.9208781956378302,0.08335022661705478,0.6225203306356611,0.08229988098991982,0.6197565248756965,0.06792316495600428
